hedge_years,put_strike,put_premium,success_rate
20,-0.1,0.005,0.9764
15,-0.1,0.005,0.972
20,-0.1,0.01,0.968
15,-0.1,0.01,0.9644
10,-0.1,0.005,0.9621
20,-0.15,0.005,0.9563
10,-0.1,0.01,0.9558
20,-0.1,0.015,0.9556
15,-0.1,0.015,0.9543
15,-0.15,0.005,0.9536
10,-0.1,0.015,0.9496
10,-0.15,0.005,0.9479
20,-0.15,0.01,0.9453
15,-0.15,0.01,0.9442
20,-0.2,0.005,0.9423
15,-0.2,0.005,0.9417
10,-0.15,0.01,0.9405
10,-0.2,0.005,0.9378
15,-0.15,0.015,0.9329
10,-0.15,0.015,0.9317
20,-0.15,0.015,0.9312
10,-0.2,0.01,0.9295
15,-0.2,0.01,0.9283
20,-0.2,0.01,0.9272
10,-0.2,0.015,0.9188
15,-0.2,0.015,0.9141
20,-0.2,0.015,0.9101
