Index_Fund,biv,blv,bsv,vb,vo,voo,vti,vtv,vv,vwo
biv,1.000000,0.689781,0.615568,0.065429,0.126143,0.031828,0.042880,0.024390,0.080070,0.058517
blv,0.689781,1.000000,0.482263,0.073026,0.108221,0.061922,0.066625,0.033135,0.095575,0.064179
bsv,0.615568,0.482263,1.000000,0.053781,0.085928,-0.000576,0.014259,0.026152,0.070777,0.020733
vb,0.065429,0.073026,0.053781,1.000000,0.828111,0.651166,0.691652,0.760938,0.785281,0.594077
vo,0.126143,0.108221,0.085928,0.828111,1.000000,0.642976,0.715739,0.775303,0.839817,0.602625
voo,0.031828,0.061922,-0.000576,0.651166,0.642976,1.000000,0.773392,0.654652,0.713528,0.443572
vti,0.042880,0.066625,0.014259,0.691652,0.715739,0.773392,1.000000,0.690111,0.744102,0.520391
vtv,0.024390,0.033135,0.026152,0.760938,0.775303,0.654652,0.690111,1.000000,0.777716,0.560595
vv,0.080070,0.095575,0.070777,0.785281,0.839817,0.713528,0.744102,0.777716,1.000000,0.622687
vwo,0.058517,0.064179,0.020733,0.594077,0.602625,0.443572,0.520391,0.560595,0.622687,1.000000
