wr,baseline_success,guardrail_success,guardrail_put_success
0.03,0.9544,0.982,0.997
0.0325,0.9388,0.9732,0.9947
0.035,0.9199,0.9601,0.9917
0.037500000000000006,0.8946,0.9469,0.9846
0.04000000000000001,0.866,0.9273,0.9764
0.04250000000000001,0.8371,0.9055,0.9645
0.04500000000000001,0.8057,0.8838,0.9498
0.047500000000000014,0.7727,0.8537,0.9327
0.05000000000000002,0.7372,0.8234,0.9097
0.05250000000000002,0.6974,0.7926,0.8826
0.05500000000000002,0.6561,0.7576,0.8509
0.05750000000000002,0.6154,0.7186,0.8166
0.060000000000000026,0.576,0.6789,0.7773
0.06250000000000003,0.5361,0.6371,0.7368
0.06500000000000003,0.4981,0.5979,0.6922
0.06750000000000003,0.4592,0.5593,0.6489
0.07000000000000003,0.423,0.5164,0.6035
